aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
153,198,2023-01-30:18,5,87,57,42.75,20,2023-01-30T23:30:00,2023-01-30T18:00:00,1675101600
153,192.3,2023-01-30:17,5,89,54.3,40.75,18,2023-01-30T22:30:00,2023-01-30T17:00:00,1675098000
153,186.7,2023-01-30:16,5,91,51.7,38.75,16,2023-01-30T21:30:00,2023-01-30T16:00:00,1675094400
150,181,2023-01-30:15,5,93,49,36.75,14,2023-01-30T20:30:00,2023-01-30T15:00:00,1675090800
137,172.7,2023-01-30:14,3.7,99.3,46.3,34.75,12.3,2023-01-30T19:30:00,2023-01-30T14:00:00,1675087200
123,164.3,2023-01-30:13,2.3,105.7,43.7,32.75,10.7,2023-01-30T18:30:00,2023-01-30T13:00:00,1675083600
129,156,2023-01-30:12,1,112,41,30.75,9,2023-01-30T17:30:00,2023-01-30T12:00:00,1675080000
139,157,2023-01-30:11,1,110.3,43,32.25,9.3,2023-01-30T16:30:00,2023-01-30T11:00:00,1675076400
121,158,2023-01-30:10,1,108.7,45,43,9.7,2023-01-30T15:30:00,2023-01-30T10:00:00,1675072800
139,159,2023-01-30:09,1,107,47,35.25,10,2023-01-30T14:30:00,2023-01-30T09:00:00,1675069200
145,160,2023-01-30:08,1,105,49.3,37,11.7,2023-01-30T13:30:00,2023-01-30T08:00:00,1675065600
155,161,2023-01-30:07,1,103,51.7,38.75,13.3,2023-01-30T12:30:00,2023-01-30T07:00:00,1675062000
163,162,2023-01-30:06,1,101,54,40.5,15,2023-01-30T11:30:00,2023-01-30T06:00:00,1675058400
177,168,2023-01-30:05,1.3,100.7,59.3,44.5,20.3,2023-01-30T10:30:00,2023-01-30T05:00:00,1675054800
187,174,2023-01-30:04,1.7,100.3,64.7,48.5,25.7,2023-01-30T09:30:00,2023-01-30T04:00:00,1675051200
171,180,2023-01-30:03,2,100,70,52.5,31,2023-01-30T08:30:00,2023-01-30T03:00:00,1675047600
184,179,2023-01-30:02,2,94.7,67.7,50.75,29,2023-01-30T07:30:00,2023-01-30T02:00:00,1675044000
184,178,2023-01-30:01,2,89.3,65.3,49,27,2023-01-30T06:30:00,2023-01-30T01:00:00,1675040400
193,177,2023-01-30:00,2,84,63,47.25,25,2023-01-30T05:30:00,2023-01-30T00:00:00,1675036800
193,179,2023-01-29:23,2.3,84.3,63.7,47.75,24.7,2023-01-30T04:30:00,2023-01-29T23:00:00,1675033200
205,181,2023-01-29:22,2.7,84.7,64.3,48.25,24.3,2023-01-30T03:30:00,2023-01-29T22:00:00,1675029600
196,183,2023-01-29:21,3,85,65,48.75,24,2023-01-30T02:30:00,2023-01-29T21:00:00,1675026000
217,193,2023-01-29:20,3.3,92.7,66.3,49.75,27.7,2023-01-30T01:30:00,2023-01-29T20:00:00,1675022400
